,Z-1,Z-2,Z-3,Z-4,Z-5,Z-6,Z-7,Z-8,Z-9,Z-10,Z-11,Z-12,Z-13,Z-14,Z-15,Z-16,Z-17,Z-18,Z-19,Z-20,Z-21,Z-22,Z-23,Z-24,Z-25,Z-26,Z-27,Z-28,Z-29,Z-30,Z-31,Z-32,Z-33,Z-34,Z-35,Z-36,Z-37,Z-38,Z-39,Z-40,Z-41,Z-42,Z-43,Z-44,Z-45,Z-46,Z-47,Z-48,Z-49,Z-50,Z-51,Z-52,Z-53,Z-54,Z-55,Z-56,Z-57,Z-58,Z-59,Z-60,Z-61,Z-62,Z-63,Z-64,Z-65,Z-66,Z-67,Z-68,Z-69,Z-70,Z-71,Z-72,Z-73,Z-74,Z-75,Z-76,Z-77,Z-78,Z-79,Z-80,Z-81,Z-82,Z-83,Z-84,Z-85,Z-86,Z-87,Z-88,Z-89,Z-90,Z-91,Z-92,Z-93,Z-94,Z-95,Z-96,Z-97,Z-98,Z-99,Z-100,Z-101,Z-102,Z-103,Z-104,Z-105,Z-106,Z-107,Z-108,Z-109,Z-110,Z-111,Z-112,Z-113,Z-114,Z-115,Z-116,Z-117,Z-118,Z-119,Z-120,Z-121,Z-122,Z-123,Z-124,Z-125,Z-126,Z-127,Z-128,Z-129,Z-130,Z-131,Z-132,Z-133,Z-134,Z-135,Z-136,Z-137
Z-49,79959.28,87723.15,103777.49,59734.07,122166.31,2873.07,145473.67,inf,98065.18,inf,139606.79,153357.21,77732.33,inf,50148.36,148391.12,112203.66,14809.85,104546.41,69506.88,89248.11,77203.0,112496.11,86588.42,102103.35,91780.68,65284.77,182177.88,104200.33,128648.24,55146.22,38194.03,119117.43,81451.69,88703.15,151115.47,133871.64,97830.7,63799.02,87901.08,44146.9,130911.63,69436.81,32664.71,88605.11,65591.48000000001,69453.97,124430.61,inf,42464.42,inf,72489.25,27482.74,121561.16,123243.18,70382.11,89255.13,65953.59,186706.38,144578.86,134849.14,inf,51119.97,151036.62,113541.01,64548.42,65587.86,83777.99,133067.72,194404.4,79643.31,72145.05,63322.43,65959.21,inf,88791.41,116511.54,45651.4,124491.53,155135.38,60160.41,74636.98,157695.69,105713.53,105515.59,150344.0,85657.15,173062.21,68350.24,156103.62,50124.26,36071.92,115617.26,111962.5,131354.63,105969.95,123487.51,12560.25,172642.07,136940.68,14694.19,79363.82,135653.8,147962.21,143458.1,74937.88,78936.22,145522.87,78415.45,92200.26,73337.42,inf,83336.17,10866.42,90821.26,63332.07,83518.77,136570.7,181401.46,102844.7,94001.15,124145.06,58988.94,100511.19,159911.96,64019.12,96295.64,159797.98,156742.26,141085.38,35058.46,92088.12,101719.51,117206.57,117558.12,128339.58,206629.92
Z-50,57759.18,58984.88,inf,121276.81,139492.32,46545.22,130510.14,184793.24,103324.69,81435.38,27783.29,53826.98,84532.58,60293.15,141140.76,144029.66,54310.94,78495.71,51386.13,134145.78,105073.19,145747.37,80929.06,75201.44,inf,79901.92,79988.66,116223.77,130245.18,102762.14,108806.27,78101.8,120286.06,98384.5,117328.23,75035.51,84049.62,4386.74,157240.22,138553.14,155499.12,131774.73,121045.52,133223.64,126038.86,85670.03,117828.9,122211.6,62064.4,inf,151158.66,185302.17,84175.29,152598.41,88019.37,inf,140435.17,122864.45,71124.01,92574.0,217868.73,39855.65,435.56,104231.05,78480.71,79735.09,139131.12,13078.55,112079.09,86253.73,126040.09,121790.26,49595.68,90929.42,61874.19,85416.3,144994.22,127115.24,167640.77,41877.07,119346.59,inf,106766.59,171570.78,70653.86,90655.64,135899.58,121831.27,122396.82,192214.31,133505.55,157973.23,86450.01,83127.88,89635.98,89860.52,104657.07,156296.52,inf,104004.46,67532.49,130468.13,101148.32,7681.64,115006.89,108249.35,92379.97,144376.73,20511.04,40710.0,101944.28,96141.84,136943.47,inf,23146.05,112927.5,133629.01,153000.84,61944.39,126398.02,112551.55,103977.17,67904.09,158140.84,100651.58,65053.25,90433.21,126504.28,inf,91569.19,53356.58,120999.13,80504.94,84861.08,73006.59,96102.12,78830.6
Z-51,82479.32,141081.35,134426.02,97514.9,187400.21,81667.11,160365.11,89625.94,174097.77,108310.11,138780.14,133220.03,116246.27,137210.44,inf,113858.02,127294.13,10082.73,123678.07,77455.14,112472.64,173217.08,128124.03,115008.39,145244.86,100971.05,75316.25,62376.5,89153.33,89156.16,87500.03,117175.28,129859.72,138134.24,115100.11,142908.93,143916.22,80617.46,121103.25,145984.89,121559.24,69147.77,46929.24,118130.26,28596.97,135376.8,64649.02,119004.84,123059.27,63499.21,inf,154385.8,79002.16,137020.23,97537.79,96074.05,75890.22,140127.99,160322.94,99450.85,80745.43,139376.91,11188.82,117063.81,123506.62,130007.06,119622.63,103699.87,101828.28,81197.05,143395.86,77211.07,97337.04,83246.65,56198.43,inf,109010.85,54972.71,127273.35,52338.37,105915.73,64626.45,64218.35,120575.12,144355.04,86876.73,97669.2,97236.17,81583.69,108913.67,141200.63,97639.71,70497.86,57453.05,50993.76,136268.33,163272.69,108433.29,39152.98,169246.34,148612.56,inf,139380.1,80073.07,92048.64,118770.09,77361.72,147289.8,116880.14,162111.89,106147.9,86637.15,84212.01,91789.66,71704.23,66463.28,95380.57,89171.05,82591.88,93037.98,105614.06,176598.88,147624.1,31416.3,21934.18,48273.24,127249.48,102189.47,133903.24,135295.66,29254.81,inf,83746.21,inf,159292.6,134353.8,154229.53
Z-52,116098.37,141972.16,78661.38,171965.75,63070.9,55453.17,98515.38,95408.28,inf,62027.07,123205.61,94940.27,57707.04,151924.99,109247.06,111910.81,inf,102256.52,138901.41,71210.13,31870.77,139608.6,183981.02,inf,170619.58,126894.2,37333.95,74913.54,98773.24,76229.7,86314.68,90747.95,41500.32,inf,73089.45,106892.76,145791.74,111718.71,127898.58,31283.69,65794.04,141053.01,90793.85,120210.96,136429.49,147912.06,123544.28,108430.7,117255.67,89305.91,92913.86,inf,111422.89,152971.17,94777.8,152923.81,156529.67,135594.61,77946.64,153670.17,83517.54,107714.92,44120.53,129335.19,111100.69,94792.09,87264.6,77613.49,130853.16,95175.28,82860.24,58815.61,78719.39,183677.47,128944.96,35277.67,144365.84,129219.21,86140.18,167498.22,67465.37,160630.3,128386.49,120648.35,inf,78757.19,87382.95,121133.57,80354.67,93739.19,34227.64,12126.88,104301.56,96161.24,117727.24,79389.99,159548.63,104294.51,131377.34,96303.78,131887.32,189058.71,inf,63131.36,98273.59,72893.16,163368.61,168283.1,42952.68,138142.92,81336.65,51902.09,105904.35,183489.78,92117.28,68954.91,67372.09,49824.16,44768.45,98101.25,138546.74,43309.5,56408.86,85266.85,63813.52,27787.86,118693.09,54900.43,152999.99,116177.29,64991.08,51110.97,133674.43,118692.95,160170.95,90268.11,122049.82
Z-53,116242.82,64148.78,99652.12,46431.3,128039.24,49697.58,inf,170124.42,133577.45,155280.52,52723.11,126481.14,115758.65,119117.43,126406.38,174060.1,125320.94,77501.64,133151.89,86787.82,113155.01,inf,140438.96,92777.46,11210.27,40636.2,103488.46,114495.58,85501.42,91364.24,inf,208678.48,197889.22,40553.16,47253.72,81918.43,18701.59,113892.38,47904.99,76878.55,96616.98,84788.33,84521.92,103417.26,56712.63,133428.71,91643.8,169836.37,104777.51,98602.39,170078.16,inf,inf,110567.52,81517.58,141733.38,118083.89,102354.74,98895.56,136822.95,30909.23,117623.73,192046.33,100895.98,124453.35,113608.73,103766.1,107815.13,108469.42,132621.89,56038.32,87679.6,75656.87,75341.89,157715.3,inf,65052.55,43067.5,113848.71,18969.54,126849.89,152718.32,132514.46,214694.97,17865.43,125453.55,50279.13,70356.45,106627.39,143057.5,75168.5,48583.21,92774.64,53650.59,inf,inf,60125.78,85666.34,112665.36,123254.81,150077.65,92130.89,inf,82644.29,67198.11,104773.02,54817.07,114720.1,112650.71,151218.74,92050.7,109659.98,71358.34,46772.83,inf,inf,176945.4,99835.62,inf,125658.5,148503.57,125183.15,113496.44,106798.41,97719.31,94141.99,25235.09,208552.47,45145.92,66163.31,155582.63,70540.18,158864.33,18009.23,3136.91,138499.72,91031.56
Z-54,155325.77,123860.76,124267.71,97515.54,55984.92,115349.79,120156.72,60053.85,165710.93,139643.26,164727.81,37312.23,76587.24,145713.98,78447.03,54537.14,180026.36,62883.34,37007.41,56753.83,150091.48,78632.57,87742.77,83226.31,12775.45,65538.20999999999,110349.31,41078.55,127397.95,104858.31,42099.53,136659.49,65031.8,83749.07,73350.2,91020.96,110934.72,199286.67,90960.04,132967.51,59871.73,15918.76,117325.33,100063.1,116571.84,22156.74,132732.74,110345.05,122601.96,74937.4,101845.18,80143.96,94933.91,inf,46018.28,161109.41,150418.74,inf,132761.5,95204.12,97492.57,178878.34,172125.43,117694.63,105249.41,113477.15,52637.1,inf,inf,65102.71,123125.68,141152.32,109279.41,75678.19,86945.05,149805.6,135482.49,59808.38,80183.13,133410.49,73263.69,145024.35,58380.62,145086.66,134740.76,38226.68,130895.84,126733.12,38516.06,101508.38,125771.56,112378.64,88018.64,76600.77,193643.42,65547.98000000001,167897.29,66183.88,119219.98,32264.38,87843.01,66485.71,48543.21,145353.17,118298.02,84287.24,91856.85,106277.43,94047.15,118326.93,100890.66,inf,42821.07,98939.71,109761.49,134094.03,123764.81,61684.86,62852.71,127333.82,136076.42,130930.49,154881.25,139835.92,112811.03,inf,160311.86,65609.79000000001,94023.69,72231.67,100520.3,68617.78,66843.51,inf,49423.21,130281.69,96776.2
Z-55,129793.62,92907.48,inf,182608.98,183451.03,45031.78,151129.99,139262.22,100979.02,111555.11,29226.19,109907.18,86077.22,136580.55,127448.16,90272.01,143582.14,110024.95,88338.17,59133.26,95470.87,114577.89,84915.04,49367.95,93801.45,87604.04,8998.58,65954.97,78630.13,111471.07,94249.64,inf,101769.85,120112.09,178859.38,39633.72,102362.54,77441.94,85346.03,88743.94,103457.18,66791.91,124394.78,97013.31,144613.48,124939.13,114796.6,91481.29,128997.91,42582.48,66004.47,127477.58,62320.87,52063.45,inf,104000.46,119225.11,115007.23,88532.36,62855.72,103067.69,inf,21913.47,120904.32,118753.28,109719.16,56421.98,86437.71,49850.97,57402.52,inf,154459.84,142018.76,71222.59,43565.76,170582.38,117701.31,116883.22,84100.2,176480.84,59915.81,112757.71,108771.96,47353.25,118752.84,154956.1,59127.6,123585.93,130828.5,71308.99,102539.2,76879.66,114400.55,65127.87,45446.98,1642.0,135568.34,143131.56,127517.07,130252.32,101508.18,84606.88,88785.1,12986.61,49562.81,173158.43,119098.79,65159.69,73884.13,152383.11,74895.14,134381.57,146011.96,99528.2,116400.03,114460.91,143358.41,115280.26,inf,79743.41,204497.99,81218.58,74968.63,129030.14,22291.29,102503.02,133733.37,39275.0,63956.96,142060.99,58579.76,131867.14,103835.08,124792.1,119092.44,103674.64,134436.05
Z-56,126281.76,171139.74,75252.8,72132.5,81233.42,123602.37,101660.61,147126.83,108835.84,107007.54,101063.47,34522.43,82613.56,73364.7,37984.15,120288.05,68338.28,103007.99,145769.51,73869.89,inf,65703.5,93879.01,117593.98,146840.77,71230.06,23296.86,37126.71,48810.25,62102.58,61663.84,17399.71,131196.16,75572.59,121552.93,72481.71,22905.7,5064.53,27403.81,87713.15,109013.64,79239.42,106525.29,119132.07,81051.08,74738.79,116255.83,126156.5,94532.07,132456.81,94041.79,85988.52,175974.21,99629.07,81098.81,inf,64021.94,57742.31,69838.02,115083.7,97392.98,36276.88,145300.98,142695.14,98999.68,109275.3,173708.14,90226.13,57279.44,66153.6,inf,39975.17,68366.31,119589.19,54127.81,146723.36,123997.19,145369.45,168789.26,101617.27,132243.21,119788.04,104139.81,89197.13,134778.25,111320.78,47201.64,109816.56,88030.89,125412.6,64862.8,58682.38,98045.85,116767.27,141890.56,87784.07,110041.02,108864.0,169472.31,138488.47,105866.72,131412.63,74598.31,128926.48,121958.15,95595.24,108702.26,114573.48,inf,66085.88,47786.53,99530.32,61366.9,73881.72,155967.66,102077.95,51843.3,33718.77,57364.18,61901.27,132599.34,93309.43,93838.49,69641.51,66070.72,52479.97,90833.11,62794.43,78656.52,138589.92,11659.69,59708.12,98633.06,87664.99,52368.94,141583.11,147331.98
Z-57,77077.16,104767.5,102080.2,129403.76,inf,42165.49,114995.2,82530.38,117115.41,158226.94,79637.96,84110.2,87449.73,21150.61,70928.34,91897.76,93902.46,84034.76,171079.83,117057.07,113191.94,13239.44,93745.66,105330.05,58705.18,92184.05,123052.78,58852.28,53237.53,91400.48,42474.17,39802.94,64149.51,74959.82,inf,80137.62,59750.19,126502.1,59243.31,inf,100251.07,77621.8,118293.19,172591.12,94623.3,70317.65,123332.96,124047.17,148777.9,115373.14,146004.38,139621.87,110209.37,116500.19,105049.55,66455.67,inf,48791.01,61077.82,109589.34,136768.2,60231.27,90050.51,108295.19,106705.04,62563.67,96973.74,7750.88,83985.36,155704.57,143714.09,102915.33,158191.38,111620.34,185047.57,55481.31,177429.84,73973.93,12460.51,68018.31,40153.3,78064.07,142060.06,153633.35,122837.08,121026.71,77250.15,108493.85,176992.65,140476.4,139186.83,98511.75,56192.78,151198.29,133284.61,111647.21,inf,110718.33,103657.31,63314.22,86460.68,105469.66,120004.11,126281.31,133369.35,125357.12,67868.26,93515.77,106170.31,147786.52,79373.57,inf,155942.35,165762.44,176556.54,72035.6,87471.41,inf,147951.63,85560.1,97663.7,169360.06,96725.89,54558.9,95379.08,25089.01,41375.77,inf,102994.23,42690.9,30929.95,114594.53,141835.43,58497.78,67268.45,142785.27,147427.92
Z-58,73280.14,117777.82,52145.95,81709.0,inf,54068.53,84288.32,68313.4,95408.88,inf,85482.57,65783.23,inf,54535.78,109127.59,57261.94,inf,85669.98,77457.33,114550.11,172018.62,55489.65,155764.81,134640.42,45830.82,77700.54,125648.51,7335.65,143359.89,81464.09,69101.32,85637.35,110730.19,73419.33,69484.81,103343.87,inf,90107.73,26914.84,inf,59546.18,62092.6,inf,28816.93,136277.67,92083.53,52968.88,88281.04,12666.25,57686.08,85732.92,49704.25,107607.6,82867.77,inf,75646.34,57485.17,inf,inf,106170.97,160795.2,70242.53,98346.23,85734.87,135617.13,211970.75,120054.87,134848.48,104551.06,155922.55,91020.29,164458.58,52159.51,102766.36,152524.73,50821.93,inf,79764.11,65868.95,113365.18,47731.53,16643.34,142698.48,140708.67,94679.32,108536.26,130663.04,93118.06,144779.16,162928.0,89570.98,83024.39,87756.92,119651.91,99195.43,113639.68,77280.12,81834.89,16358.66,120231.26,160047.66,inf,109648.43,137448.09,47281.56,125710.94,80800.62,74403.0,89762.77,67352.08,109879.59,112293.83,84086.2,79371.3,66568.29,77488.02,89884.44,100652.9,72055.61,103018.83,60077.78,31351.53,76752.12,134426.31,149336.15,74438.43,156947.81,112899.49,129653.66,134204.69,58797.46,71515.61,54192.37,77863.63,inf,131097.94,134300.6
Z-59,73070.04,114261.7,59436.64,133575.9,29369.7,144595.21,89045.53,126632.8,134288.42,73967.55,109549.75,77886.27,58928.89,186285.91,66998.98,143295.87,63317.56,90393.5,inf,101946.97,124349.56,87707.93,80481.16,92274.13,105526.65,51301.23,75043.09,91424.82,92089.34,162997.25,138991.06,181658.93,inf,7044.29,33168.0,63266.76,161605.17,81716.65,94564.03,1797.96,203041.84,inf,102977.89,49069.6,99568.2,67112.33,16794.04,32216.81,109044.82,54579.43,101449.7,144019.82,71756.05,51207.23,62367.16,67756.39,83793.26,38058.05,inf,85391.21,94680.58,123453.2,108162.91,131461.16,78923.76,83746.9,83279.59,22927.79,52246.04,75507.64,185624.94,131247.81,79130.18,146289.52,139301.83,67083.39,130301.87,128888.35,63391.93,96554.26,50716.84,80531.73,145455.43,153284.01,88497.39,77160.56,64914.71,130752.53,157210.14,46540.51,92395.8,155339.52,130733.3,87110.17,inf,119349.45,110568.94,116256.97,106231.81,129502.77,26134.3,106685.0,74274.75,99497.36,129790.85,92087.06,94294.27,111284.83,111443.39,148741.38,101309.36,67187.15,114326.71,131692.98,81551.93,120897.29,49624.63,87131.47,113065.12,56493.97,95677.62,133037.45,84800.57,58942.01,83388.0,121364.84,161455.33,105686.08,104851.59,122279.11,121316.56,133409.83,99254.6,111018.63,31629.79,175707.86,188656.24
Z-60,36966.02,126070.14,86539.0,45111.39,52797.56,65383.67,75571.18,107249.97,inf,195244.84,122347.23,81062.95,186548.65,82949.56,114454.56,102072.67,97772.54,64540.63,125042.77,125432.06,88159.67,134351.12,125421.83,177515.33,inf,884.74,91807.04,120651.71,202938.88,58667.36,50468.54,71040.71,98173.0,67299.29,124416.1,89769.12,46007.53,121238.84,92300.62,90860.59,92802.77,23742.83,111192.94,75071.48,84261.58,65301.5,98738.23,123700.57,83987.73,132929.79,35706.49,156178.29,63582.71,106373.11,194886.11,75838.3,87234.79,97200.66,131184.8,inf,28526.52,121549.53,27211.26,99087.13,143576.39,139228.4,148483.93,122204.06,102814.95,40511.8,78683.1,184486.46,54334.15,192670.65,64690.33,104948.65,128920.15,148979.99,88196.96,134606.19,70030.37,166387.68,57140.25,84237.72,149910.67,148836.78,124240.85,81140.32,70390.33,58046.15,128337.84,18838.54,143349.35,182298.36,73412.66,143431.99,116031.72,73019.68,65207.21,36018.73,60396.55,144555.58,132243.4,inf,84042.25,95048.28,inf,130171.51,59768.85,133218.24,26774.84,83596.56,57589.09,125962.28,131730.9,inf,104876.51,122622.98,105013.09,59349.72,121899.87,148804.1,53617.99,inf,85299.81,94619.34,125248.89,106855.36,50312.19,80482.06,81961.74,133978.6,31554.98,126872.68,107628.11,89406.7,130023.53
Z-61,163639.98,151794.83,139353.36,172358.63,88605.39,161028.71,51514.98,102686.4,55603.23,84917.3,110295.84,109828.6,123785.47,104098.52,65876.84,91432.79,31922.38,21777.03,122070.79,140335.34,101395.59,149194.59,74185.6,92076.16,inf,68496.09,131941.14,111626.55,110702.81,105719.46,137278.65,117309.3,38970.11,166456.6,inf,49546.88,128512.46,3934.16,84261.54,105279.45,79264.08,55661.21,53641.61,117251.83,79322.33,107886.3,10076.17,79686.63,96897.39,77266.31,140587.1,85938.77,83131.24,96709.81,111014.44,77635.76,121770.53,108777.92,154181.05,90999.16,inf,inf,114307.77,inf,34204.41,187134.63,121309.31,inf,116916.56,145326.82,86021.92,60960.33,55782.32,163115.26,130076.38,110589.56,175838.99,70615.16,inf,104177.14,54548.74,108999.3,inf,inf,64964.96,111223.54,120340.6,98573.05,161933.06,169720.85,124391.79,72234.93,101323.62,56686.41,195248.48,113092.01,116030.48,47490.63,110470.76,151810.52,162888.16,101530.57,92847.41,115657.28,92276.42,103602.34,160848.86,97423.09,144166.25,5349.05,55501.4,118804.96,114272.44,92798.85,85479.19,81391.79,114774.52,138200.55,116518.79,1292.91,71229.42,157660.57,166703.99,81103.24,163880.55,116303.41,113411.99,162604.36,81875.57,90450.68,153253.89,76188.44,143330.66,96455.5,153839.92,102790.66,138162.66
Z-62,155687.9,116866.27,127325.54,100627.4,114757.01,83350.82,115976.4,128302.44,129388.94,86014.32,121326.73,60326.36,179740.44,154926.85,15488.22,52644.36,79476.61,148313.06,90481.39,95285.76,107302.44,113832.94,143097.34,101796.1,142282.66,71650.16,142788.18,127483.42,33509.1,93315.46,75238.07,77136.69,34397.46,100835.33,60914.23,114241.76,72541.84,106623.49,184027.32,132826.43,44341.43,128789.14,105369.86,84932.85,83270.28,107572.75,99052.18,110380.66,111760.2,59309.07,132590.98,30856.83,inf,139274.57,73429.53,112439.83,88596.8,92155.57,inf,127285.23,69861.64,inf,147479.79,83157.24,37058.3,124634.1,22991.93,48652.68,58831.62,118732.72,37062.59,69612.45,137156.84,140407.08,104319.53,111527.36,79597.37,163712.15,27061.81,106598.27,62630.93,41906.32,78429.48,117824.71,147462.66,115974.5,156008.99,118304.88,121099.54,75140.76,153150.88,64110.74,25650.76,73757.86,121627.91,62520.55,151250.43,157441.07,129899.74,13456.37,175564.03,197806.24,73872.1,114266.43,121475.21,96427.24,109216.68,70082.69,34063.07,93401.99,153842.18,inf,103398.25,44470.17,86463.2,91679.51,89453.31,88597.78,123762.66,106484.89,71060.53,109045.01,66097.23,60767.97,49474.86,57918.71,105401.51,44859.63,147981.04,92801.31,130082.53,141416.58,164359.58,93699.26,11990.64,128238.49,34265.91
Z-63,105902.0,68593.8,6274.2,84646.32,174315.04,inf,163358.83,83892.51,128715.87,71039.83,36715.58,79815.74,inf,156216.18,129936.59,69352.0,49440.73,84959.51,106756.36,84633.12,121748.46,106601.4,78097.96,69576.21,125833.46,123995.45,116926.56,111174.54,151502.96,58432.68,32840.3,16825.5,65057.56,123506.75,inf,113416.68,65234.59,142944.18,59595.66,55997.28,61056.17,134710.76,26471.55,45084.63,112262.89,174604.3,132298.57,144910.44,53876.29,154593.28,165473.18,104368.13,9444.27,107907.76,46137.09,104618.78,113416.47,126483.04,84235.7,72093.54,23192.77,34850.63,inf,135965.82,74236.6,156429.87,98179.19,93926.63,136552.09,118937.61,148922.67,111023.74,150754.28,122087.23,inf,76801.18,70031.18,48784.89,96720.09,137611.52,68694.02,88967.1,100563.4,89236.13,99232.89,146716.88,119244.26,42900.19,63557.79,66583.76,140505.01,77267.22,inf,44403.91,68499.2,110845.99,inf,100748.53,129706.91,74264.62,44859.72,82911.89,117559.38,127257.34,115859.68,105752.1,232767.13,21319.75,86354.02,140148.15,150814.83,107780.68,112990.22,130190.33,67597.84,108135.91,60416.02,168404.72,58461.71,166099.93,152646.43,121705.21,122492.43,inf,153795.63,82887.53,89259.07,132578.4,100291.17,173599.04,89221.0,170931.06,104868.69,137822.12,47175.75,inf,125001.92
Z-64,134463.77,140467.04,115456.33,112981.99,146854.04,137557.05,71907.16,67393.39,76285.57,67805.94,105097.31,175422.8,100822.54,116148.65,68459.75,158721.73,inf,69337.84,96143.87,82599.43,10846.91,119481.48,169280.06,54865.63,108527.87,90674.42,80167.56,94049.42,89328.52,137019.41,88574.04,174412.48,64139.9,133557.16,147281.4,93581.61,inf,73011.54,63532.07,108974.89,47176.95,116036.83,inf,112103.16,156634.03,185352.85,92890.52,48258.41,143820.59,97219.24,107756.97,163168.83,53632.12,167191.59,162065.34,73548.46,175045.62,83748.98,120860.49,181853.93,102434.48,134353.45,94213.1,inf,123089.58,110752.95,95941.36,51301.41,142311.96,107004.72,178290.18,129344.81,100536.33,213059.38,167848.94,173001.43,202920.14,170173.73,77236.71,132598.03,69343.73,44227.52,104292.75,105912.78,54150.17,138270.9,93115.95,70408.19,104227.84,101052.28,115390.59,96956.12,125146.86,125246.17,127845.88,134597.96,110375.42,122935.0,117102.65,142576.88,76186.63,39829.12,81103.08,107478.69,185082.0,93164.45,inf,16207.3,84985.57,71456.29,96403.71,176017.26,128410.33,66754.98,128740.78,135332.55,118004.82,83761.95,97630.03,146773.83,114752.33,72499.88,47742.52,102514.98,93851.69,106529.42,67366.64,83190.36,53920.23,82964.42,77227.5,60530.8,156321.64,127914.58,136846.26,120235.98,107063.58
Z-65,19761.18,59416.35,151154.25,60129.5,99419.56,34198.31,114011.71,180561.07,105438.18,58465.27,149357.19,21608.8,inf,83723.22,106160.66,125544.66,106966.05,100080.83,160008.82,110342.61,78535.84,110072.17,173273.15,103935.86,99023.69,71084.98,87551.86,87307.85,149096.61,127277.14,128007.94,183263.84,74319.98,113385.66,90962.25,50091.36,116929.88,79861.91,133525.11,119384.1,146088.8,96702.0,176040.45,121431.73,152720.05,124927.8,117748.71,122490.18,95412.41,inf,131123.87,73976.34,75086.72,115492.71,135854.93,inf,120121.37,87816.39,118970.3,101594.14,65595.37,50824.52,79978.23,68171.89,inf,69221.11,145727.56,114601.09,153442.23,93122.28,68812.06,119761.3,88590.39,63612.81,127513.91,117985.37,61513.95,96840.68,60815.14,94466.63,46479.14,76219.12,96519.81,39210.5,91140.26,91152.22,140782.56,161581.79,77272.85,81957.98,125292.91,50385.96,144422.97,96019.32,85958.19,98808.39,inf,168071.49,123945.21,80535.26,71634.99,117428.22,115033.33,85828.0,78276.67,86312.97,132309.24,152876.11,75322.87,129321.29,143383.38,109146.53,80955.61,118275.99,164387.79,130755.09,21217.03,76842.76,182201.7,101640.4,130406.66,98032.59,inf,7387.81,53251.49,142725.88,53419.82,143644.26,101040.61,181214.81,5415.34,90301.77,125907.75,inf,104954.11,156331.07,101810.81
Z-66,73769.46,inf,inf,77088.83,104828.46,103052.88,82767.76,103658.02,169262.54,190863.91,81178.3,137147.87,136838.28,70807.84,52160.89,58824.75,59588.99,71014.74,112694.63,82687.59,55899.03,90374.25,86201.56,75504.51,75681.91,97143.69,113204.56,70821.77,51327.15,133297.93,121154.99,115591.73,102498.96,inf,160643.97,140923.31,117921.19,27973.32,66980.49,81559.45,56090.02,87201.38,76363.61,108495.58,50875.16,78185.26,116823.75,73643.42,87919.09,82886.0,143974.84,29626.42,42674.84,107571.3,inf,79767.24,109536.17,159568.68,82120.2,55677.96,154465.83,78588.08,169268.8,182658.43,144502.54,inf,29176.6,100600.18,174983.83,94488.26,88209.7,127817.69,126656.58,77650.17,158041.88,145167.8,155800.22,99152.83,99628.29,108241.52,140158.04,98170.78,78700.3,97053.62,68950.32,87946.4,145905.68,128208.07,146385.55,58302.19,115423.12,136226.48,83278.77,119535.29,inf,22910.44,56266.09,92846.76,104671.11,144291.39,17393.81,102448.8,131350.31,72368.03,140100.9,75231.29,119821.46,135639.43,109621.69,55501.03,85682.78,135257.62,59754.15,164789.98,37242.98,90546.0,102867.09,178213.38,79897.09,36185.16,14194.53,123214.75,134800.82,190183.51,103913.23,124291.14,inf,105381.7,105142.8,53766.01,187934.91,163480.61,131738.09,48640.61,88511.26,99727.32,70065.95
Z-67,117994.37,67504.91,143756.29,109221.82,80866.26,68773.75,66211.53,inf,146637.94,89141.74,inf,175639.61,77742.96,96409.28,84990.06,114662.13,135180.01,125552.23,60173.01,inf,111750.65,163734.55,143656.68,83675.31,93534.37,71170.68,64787.32,inf,77893.75,94077.78,79421.32,142380.7,119357.65,77995.59,64088.07,41249.08,88223.09,74753.62,119093.4,73334.57,28611.21,4692.23,64125.55,136729.84,49828.19,121153.53,120757.76,172848.02,141789.42,3529.5,65240.11,114817.71,143458.87,140463.07,60249.95,135909.31,47784.33,75888.26,73249.79,70914.2,56744.38,110200.63,87093.42,153652.84,117959.38,146399.36,inf,111886.98,79020.55,60815.56,90530.32,149227.72,123442.45,143977.56,inf,141810.26,31939.61,84854.39,107436.15,93238.9,137832.16,inf,137294.91,52639.68,182912.57,inf,36202.51,inf,94447.15,101943.38,72257.49,77232.52,108989.79,73751.17,39391.34,117195.3,146050.15,102675.52,109061.98,117681.73,67689.54,105117.21,inf,81703.56,103426.29,91479.18,135747.95,105476.45,79902.36,178786.08,54233.75,77166.86,176245.2,35850.97,160161.14,169053.89,106656.43,150841.22,154494.84,8881.12,111512.71,127782.29,143607.95,87377.68,141089.24,124733.47,inf,23918.17,122972.53,91249.3,116396.0,85834.25,58391.9,47920.76,57585.63,110614.87,104753.84
